episode,step,state,action,reward,sat1_packets,sat1_action,sat1_node,sat2_packets,sat2_action,sat2_node,sat3_packets,sat3_action,sat3_node,transmitted_packets,total_packets
1,1,3-0-0,"(""pass-right-1"", ""transmit-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,transmit-1,1,0,transmit-1,1,0,3
1,2,2-1-0,"(""transmit-1"", ""transmit-1"", ""wait"")",5.6,2,transmit-1,2,1,transmit-1,1,0,wait,2,0,3
1,3,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
1,4,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
1,5,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
1,6,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
1,7,all-transmitted,"(""wait"", ""wait"", ""wait"")",0.0,0,wait,2,0,wait,1,0,wait,2,3,3
2,1,3-0-0,"(""pass-right-1"", ""transmit-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,transmit-1,1,0,transmit-1,1,0,3
2,2,2-1-0,"(""transmit-1"", ""transmit-1"", ""wait"")",5.6,2,transmit-1,2,1,transmit-1,1,0,wait,2,0,3
2,3,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
2,4,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
2,5,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
2,6,all-transmitted,"(""wait"", ""wait"", ""wait"")",0.0,0,wait,2,0,wait,1,0,wait,2,3,3
3,1,3-0-0,"(""pass-right-1"", ""transmit-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,transmit-1,1,0,transmit-1,1,0,3
3,2,2-1-0,"(""transmit-1"", ""transmit-1"", ""wait"")",5.6,2,transmit-1,2,1,transmit-1,1,0,wait,2,0,3
3,3,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,4,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,5,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,6,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,7,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,8,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,9,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,10,2-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,2,transmit-1,2,0,transmit-1,1,0,wait,2,1,3
3,11,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
3,12,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
3,13,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
3,14,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
3,15,1-0-0,"(""transmit-1"", ""transmit-1"", ""wait"")",-0.8,1,transmit-1,2,0,transmit-1,1,0,wait,2,2,3
