episode,step,state,action,reward,sat1_packets,sat1_action,sat1_node,sat2_packets,sat2_action,sat2_node,sat3_packets,sat3_action,sat3_node,transmitted_packets,total_packets
1,1,3-0-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,pass-right-1,1,0,transmit-1,1,0,3
1,2,2-1-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-2.0,2,pass-right-1,1,1,pass-right-1,1,0,transmit-1,2,0,3
1,3,1-1-1,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",7.880000000000001,1,pass-right-1,1,1,pass-right-1,1,1,transmit-1,2,0,3
1,4,1-0-1,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",8.88,1,pass-right-1,1,0,pass-right-1,1,1,transmit-1,2,1,3
1,5,0-1-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-1.0,0,pass-right-1,1,1,pass-right-1,1,0,transmit-1,2,2,3
1,6,0-0-1,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",9.88,0,pass-right-1,1,0,pass-right-1,1,1,transmit-1,2,2,3
1,7,all-transmitted,"(""wait"", ""wait"", ""wait"")",0.0,0,wait,2,0,wait,2,0,wait,2,3,3
2,1,3-0-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,pass-right-1,1,0,transmit-1,1,0,3
2,2,2-1-0,"(""wait"", ""pass-right-1"", ""transmit-1"")",-1.0,2,wait,2,1,pass-right-1,1,0,transmit-1,2,0,3
2,3,2-0-1,"(""wait"", ""pass-left-1"", ""transmit-1"")",9.88,2,wait,2,0,pass-left-1,2,1,transmit-1,2,0,3
2,4,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,5,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,6,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,7,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,8,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,9,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,10,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,11,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,12,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,13,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,14,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
2,15,2-0-0,"(""wait"", ""pass-left-1"", ""transmit-1"")",0.0,2,wait,2,0,pass-left-1,2,0,transmit-1,2,1,3
3,1,3-0-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-6.0,3,pass-right-1,1,0,pass-right-1,1,0,transmit-1,1,0,3
3,2,2-1-0,"(""wait"", ""pass-right-1"", ""transmit-1"")",-1.0,2,wait,2,1,pass-right-1,1,0,transmit-1,2,0,3
3,3,2-0-1,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",8.88,2,pass-right-1,1,0,pass-left-1,2,1,transmit-1,2,0,3
3,4,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,5,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,6,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,7,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,8,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,9,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,10,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,11,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,12,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,13,1-1-0,"(""pass-right-1"", ""pass-left-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-left-1,2,0,transmit-1,2,1,3
3,14,1-1-0,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",-2.0,1,pass-right-1,1,1,pass-right-1,1,0,transmit-1,2,1,3
3,15,1-0-1,"(""pass-right-1"", ""pass-right-1"", ""transmit-1"")",8.88,1,pass-right-1,1,0,pass-right-1,1,1,transmit-1,2,1,3
